Model,Model_Short,Dataset,Direction,Alpha,N_Samples,N_Valid_Parses,N_Successes,Parse_Rate,Failed_Parse_Rate,Success_Rate,Success_Rate_CI,Failed_Parse_CI,Probe_AUC,Best_Layer
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,2.0,195,195,34,100.0,0.0,17.44,5.33,0.0,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,4.0,195,194,93,99.49,0.51,47.94,7.03,0.51,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,6.0,195,195,125,100.0,0.0,64.1,6.73,0.0,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,8.0,195,194,137,99.49,0.51,70.62,6.41,0.51,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,10.0,195,195,109,100.0,0.0,55.9,6.97,0.0,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,12.0,195,193,80,98.97,1.03,41.45,6.95,1.03,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,14.0,195,171,60,87.69,12.31,35.09,7.15,4.61,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,16.0,195,118,46,60.51,39.49,38.98,8.8,6.86,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,18.0,195,60,25,30.77,69.23,41.67,12.47,6.48,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,20.0,195,14,5,7.18,92.82,35.71,25.1,3.62,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,0.0,195,195,16,100.0,0.0,8.21,3.85,0.0,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,2.0,210,210,44,100.0,0.0,20.95,5.5,0.0,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,4.0,210,210,147,100.0,0.0,70.0,6.2,0.0,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,6.0,210,206,168,98.1,1.9,81.55,5.3,1.85,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,8.0,210,201,145,95.71,4.29,72.14,6.2,2.74,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,10.0,210,180,136,85.71,14.29,75.56,6.28,4.73,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,12.0,210,111,89,52.86,47.14,80.18,7.42,6.75,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,14.0,210,79,75,37.62,62.38,94.94,4.83,6.55,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,16.0,210,56,54,26.67,73.33,96.43,3.57,5.98,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,18.0,210,45,45,21.43,78.57,100.0,0.0,5.55,0.903,25
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,yes→no,20.0,210,20,20,9.52,90.48,100.0,0.0,3.97,0.903,25
