model,dataset,alpha,direction,success_rate_all,success_rate_parsed,parse_rate,total,parsed,unparsed
Gemma-2B,sports_understanding,-18.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,18.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-20.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,20.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,logical_deduction,0.0,yes,0.1,0.1,1.0,20,20,0
Gemma-2B,logical_deduction,0.0,no,0.34210526315789475,0.34210526315789475,1.0,38,38,0
Gemma-2B,logical_deduction,-2.0,yes,0.0,0.0,0.0,20,0,20
Gemma-2B,logical_deduction,2.0,no,0.0,0.0,0.0,38,0,38
Gemma-9B,anachronisms,0.0,yes,0.0,0.0,1.0,60,60,0
Gemma-9B,anachronisms,0.0,no,0.0,0.0,1.0,30,30,0
Gemma-9B,anachronisms,-2.0,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,-0.25,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,0.25,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,-0.5,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,0.5,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,-0.75,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,0.75,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,-1.0,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,1.0,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,-1.25,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,1.25,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,-1.5,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,1.5,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,-1.75,yes,0.0,0.0,0.0,60,0,60
Gemma-9B,anachronisms,1.75,no,0.0,0.0,0.0,30,0,30
Gemma-9B,anachronisms,2.0,no,0.0,0.0,0.0,30,0,30
Gemma-9B,sports_understanding,-0.25,yes,0.12,0.12,1.0,50,50,0
Gemma-9B,sports_understanding,0.25,no,0.926829268292683,0.926829268292683,1.0,41,41,0
Gemma-9B,sports_understanding,-0.5,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,0.5,no,0.0,0.0,0.0,41,0,41
Gemma-9B,sports_understanding,-0.75,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,0.75,no,0.0,0.0,0.0,41,0,41
Gemma-9B,sports_understanding,-1.0,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,1.0,no,0.0,0.0,0.0,41,0,41
Gemma-9B,sports_understanding,-1.25,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,1.25,no,0.0,0.0,0.0,41,0,41
Gemma-9B,sports_understanding,-1.5,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,1.5,no,0.0,0.0,0.0,41,0,41
Gemma-9B,sports_understanding,-1.75,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,1.75,no,0.0,0.0,0.0,41,0,41
Gemma-9B,sports_understanding,-2.0,yes,0.0,0.0,0.0,50,0,50
Gemma-9B,sports_understanding,2.0,no,0.0,0.0,0.0,41,0,41
Gemma-9B,logical_deduction,-0.25,yes,0.4857142857142857,0.4857142857142857,1.0,35,35,0
Gemma-9B,logical_deduction,0.25,no,0.5,0.5,1.0,52,52,0
Gemma-9B,logical_deduction,-0.5,yes,0.0,0.0,0.0,35,0,35
Gemma-9B,logical_deduction,0.5,no,0.0,0.0,0.0,52,0,52
Gemma-9B,logical_deduction,-0.75,yes,0.0,0.0,0.0,35,0,35
Gemma-9B,logical_deduction,0.75,no,0.0,0.0,0.0,52,0,52
Gemma-9B,logical_deduction,-1.0,yes,0.0,0.0,0.0,35,0,35
Gemma-9B,logical_deduction,1.0,no,0.0,0.0,0.0,52,0,52
Gemma-9B,logical_deduction,-1.25,yes,0.0,0.0,0.0,35,0,35
Gemma-9B,logical_deduction,1.25,no,0.0,0.0,0.0,52,0,52
Gemma-9B,logical_deduction,-1.5,yes,0.0,0.0,0.0,35,0,35
Gemma-9B,logical_deduction,1.5,no,0.0,0.0,0.0,52,0,52
Gemma-9B,logical_deduction,-1.75,yes,0.0,0.0,0.0,35,0,35
Gemma-9B,logical_deduction,1.75,no,0.0,0.0,0.0,52,0,52
Qwen_Qwen2.5-7B-Inst,anachronisms,0.0,yes,0.0,0.0,1.0,48,48,0
Qwen_Qwen2.5-7B-Inst,anachronisms,0.0,no,0.1111111111111111,0.11428571428571428,0.9722222222222222,36,35,1
Qwen_Qwen2.5-7B-Inst,anachronisms,-2.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,2.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-4.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,4.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-6.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,6.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-8.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,8.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-10.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,10.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-12.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,12.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-14.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,14.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-16.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,16.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-18.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,18.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,anachronisms,-20.0,yes,0.0,0.0,0.0,48,0,48
Qwen_Qwen2.5-7B-Inst,anachronisms,20.0,no,0.0,0.0,0.0,36,0,36
Qwen_Qwen2.5-7B-Inst,sports_understanding,0.0,yes,0.0,0.0,1.0,43,43,0
Qwen_Qwen2.5-7B-Inst,sports_understanding,0.0,no,0.07142857142857142,0.07142857142857142,1.0,42,42,0
Qwen_Qwen2.5-7B-Inst,sports_understanding,-2.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,2.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-4.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,4.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-6.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,6.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-8.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,8.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-10.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,10.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-12.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,12.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-14.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,14.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-16.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,16.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-18.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,18.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,sports_understanding,-20.0,yes,0.0,0.0,0.0,43,0,43
Qwen_Qwen2.5-7B-Inst,sports_understanding,20.0,no,0.0,0.0,0.0,42,0,42
Qwen_Qwen2.5-7B-Inst,logical_deduction,0.0,yes,0.06451612903225806,0.06451612903225806,1.0,31,31,0
Qwen_Qwen2.5-7B-Inst,logical_deduction,0.0,no,0.11864406779661017,0.11864406779661017,1.0,59,59,0
Qwen_Qwen2.5-7B-Inst,logical_deduction,-2.0,yes,0.12903225806451613,0.13793103448275862,0.9354838709677419,31,29,2
Qwen_Qwen2.5-7B-Inst,logical_deduction,2.0,no,0.15254237288135594,0.15254237288135594,1.0,59,59,0
Qwen_Qwen2.5-7B-Inst,logical_deduction,-4.0,yes,0.03225806451612903,0.034482758620689655,0.9354838709677419,31,29,2
Qwen_Qwen2.5-7B-Inst,logical_deduction,4.0,no,0.15254237288135594,0.15254237288135594,1.0,59,59,0
Qwen_Qwen2.5-7B-Inst,logical_deduction,-6.0,yes,0.2903225806451613,0.5,0.5806451612903226,31,18,13
Qwen_Qwen2.5-7B-Inst,logical_deduction,6.0,no,0.03389830508474576,0.25,0.13559322033898305,59,8,51
Qwen_Qwen2.5-7B-Inst,logical_deduction,-8.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,8.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,logical_deduction,-10.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,10.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,logical_deduction,-12.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,12.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,logical_deduction,-14.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,14.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,logical_deduction,-16.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,16.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,logical_deduction,-18.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,18.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,logical_deduction,-20.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,logical_deduction,20.0,no,0.0,0.0,0.0,59,0,59
Qwen_Qwen2.5-7B-Inst,social_chemistry,0.0,yes,0.03225806451612903,0.03225806451612903,1.0,31,31,0
Qwen_Qwen2.5-7B-Inst,social_chemistry,0.0,no,0.016129032258064516,0.016129032258064516,1.0,62,62,0
Qwen_Qwen2.5-7B-Inst,social_chemistry,-2.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,2.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-4.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,4.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-6.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,6.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-8.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,8.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-10.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,10.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-12.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,12.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-14.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,14.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-16.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,16.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-18.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,18.0,no,0.0,0.0,0.0,62,0,62
Qwen_Qwen2.5-7B-Inst,social_chemistry,-20.0,yes,0.0,0.0,0.0,31,0,31
Qwen_Qwen2.5-7B-Inst,social_chemistry,20.0,no,0.0,0.0,0.0,62,0,62
Llama-2-7b-chat,anachronisms,0.0,yes,0.0,0.0,0.9629629629629629,54,52,2
Llama-2-7b-chat,anachronisms,0.0,no,0.25,0.25,1.0,24,24,0
Llama-2-7b-chat,anachronisms,-2.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,2.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-4.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,4.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-6.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,6.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-8.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,8.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-10.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,10.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-12.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,12.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-14.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,14.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-16.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,16.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-18.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,18.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,anachronisms,-20.0,yes,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,anachronisms,20.0,no,0.0,0.0,0.0,24,0,24
Llama-2-7b-chat,sports_understanding,0.0,yes,0.0,0.0,1.0,49,49,0
Llama-2-7b-chat,sports_understanding,0.0,no,0.0625,0.0625,1.0,32,32,0
Llama-2-7b-chat,sports_understanding,-2.0,yes,0.02040816326530612,1.0,0.02040816326530612,49,1,48
Llama-2-7b-chat,sports_understanding,2.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-4.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,4.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-6.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,6.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-8.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,8.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-10.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,10.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-12.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,12.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-14.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,14.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-16.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,16.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-18.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,18.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,sports_understanding,-20.0,yes,0.0,0.0,0.0,49,0,49
Llama-2-7b-chat,sports_understanding,20.0,no,0.0,0.0,0.0,32,0,32
Llama-2-7b-chat,logical_deduction,0.0,yes,0.18181818181818182,0.18181818181818182,1.0,11,11,0
Llama-2-7b-chat,logical_deduction,0.0,no,0.2,0.20408163265306123,0.98,50,49,1
Llama-2-7b-chat,logical_deduction,-2.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,2.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-4.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,4.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-6.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,6.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-8.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,8.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-10.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,10.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-12.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,12.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-14.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,14.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-16.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,16.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-18.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,18.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,logical_deduction,-20.0,yes,0.0,0.0,0.0,11,0,11
Llama-2-7b-chat,logical_deduction,20.0,no,0.0,0.0,0.0,50,0,50
Llama-2-7b-chat,social_chemistry,0.0,yes,0.06896551724137931,0.06896551724137931,1.0,29,29,0
Llama-2-7b-chat,social_chemistry,0.0,no,0.018518518518518517,0.018867924528301886,0.9814814814814815,54,53,1
Llama-2-7b-chat,social_chemistry,-2.0,yes,0.0,0.0,0.0,29,0,29
Llama-2-7b-chat,social_chemistry,2.0,no,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,social_chemistry,-4.0,yes,0.0,0.0,0.0,29,0,29
Llama-2-7b-chat,social_chemistry,4.0,no,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,social_chemistry,-6.0,yes,0.0,0.0,0.0,29,0,29
Llama-2-7b-chat,social_chemistry,6.0,no,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,social_chemistry,-8.0,yes,0.0,0.0,0.0,29,0,29
Llama-2-7b-chat,social_chemistry,8.0,no,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,social_chemistry,-10.0,yes,0.0,0.0,0.0,29,0,29
Llama-2-7b-chat,social_chemistry,10.0,no,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,social_chemistry,-12.0,yes,0.0,0.0,0.0,29,0,29
Llama-2-7b-chat,social_chemistry,12.0,no,0.0,0.0,0.0,54,0,54
Llama-2-7b-chat,social_chemistry,-14.0,yes,0.0,0.0,0.0,29,0,29
DeepSeek-1.5B,anachronisms,0.0,yes,0.8979591836734694,0.9166666666666666,0.9795918367346939,49,48,1
DeepSeek-1.5B,anachronisms,0.0,no,0.5,0.5,1.0,4,4,0
DeepSeek-1.5B,anachronisms,-2.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,2.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-4.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,4.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-6.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,6.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-8.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,8.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-10.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,10.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-12.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,12.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-14.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,14.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-16.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,16.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-18.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,18.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,anachronisms,-20.0,yes,0.0,0.0,0.0,49,0,49
DeepSeek-1.5B,anachronisms,20.0,no,0.0,0.0,0.0,4,0,4
DeepSeek-1.5B,sports_understanding,0.0,yes,0.7142857142857143,0.7692307692307693,0.9285714285714286,28,26,2
DeepSeek-1.5B,sports_understanding,0.0,no,0.35294117647058826,0.375,0.9411764705882353,17,16,1
DeepSeek-1.5B,sports_understanding,-2.0,yes,0.17857142857142858,0.20833333333333334,0.8571428571428571,28,24,4
DeepSeek-1.5B,sports_understanding,2.0,no,0.5294117647058824,0.6,0.8823529411764706,17,15,2
DeepSeek-1.5B,sports_understanding,-4.0,yes,0.0,0.0,0.0,28,0,28
DeepSeek-1.5B,sports_understanding,4.0,no,0.0,0.0,0.0,17,0,17
DeepSeek-1.5B,sports_understanding,-6.0,yes,0.0,0.0,0.0,28,0,28
DeepSeek-1.5B,sports_understanding,6.0,no,0.0,0.0,0.0,17,0,17
DeepSeek-1.5B,sports_understanding,-8.0,yes,0.0,0.0,0.0,28,0,28
DeepSeek-1.5B,sports_understanding,8.0,no,0.0,0.0,0.0,17,0,17
DeepSeek-1.5B,sports_understanding,-10.0,yes,0.0,0.0,0.0,28,0,28
DeepSeek-1.5B,sports_understanding,10.0,no,0.0,0.0,0.0,17,0,17
DeepSeek-1.5B,sports_understanding,-12.0,yes,0.0,0.0,0.0,28,0,28
DeepSeek-1.5B,sports_understanding,12.0,no,0.0,0.0,0.0,17,0,17
DeepSeek-1.5B,sports_understanding,-14.0,yes,0.0,0.0,0.0,28,0,28
DeepSeek-1.5B,sports_understanding,14.0,no,0.0,0.0,0.0,17,0,17
DeepSeek-1.5B,sports_understanding,-16.0,yes,0.0,0.0,0.0,28,0,28
